,Day,Sold
0,1,549
1,2,1411
2,3,1197
3,4,1098
4,5,634
5,6,511
6,7,1317
7,8,1157
8,9,822
9,10,834
10,11,953
11,12,680
12,13,596
13,14,1311
14,15,756
15,16,825
16,17,1243
17,18,571
18,19,1106
19,20,1140
20,21,837
21,22,1493
22,23,1485
23,24,925
24,25,875
25,26,1027
26,27,545
27,28,716
28,29,1503
29,30,554
30,31,1285
31,32,1304
32,33,1414
33,34,1510
34,35,1366
35,36,1053
36,37,1368
37,38,1384
38,39,1340
39,40,1270
40,41,1516
41,42,652
42,43,1522
43,44,1369
44,45,1087
45,46,647
46,47,799
47,48,1451
48,49,584
49,50,1185
50,51,597
51,52,940
52,53,549
53,54,1189
54,55,1249
55,56,1468
56,57,811
57,58,760
58,59,1411
59,60,991
60,61,786
61,62,882
62,63,1248
63,64,794
64,65,1362
65,66,839
66,67,774
67,68,1163
68,69,1007
69,70,588
70,71,1151
71,72,912
72,73,957
73,74,870
74,75,800
75,76,1114
76,77,567
77,78,1330
78,79,1161
79,80,736
80,81,665
81,82,941
82,83,808
83,84,835
84,85,1510
85,86,1288
86,87,1395
87,88,1111
88,89,760
89,90,866
90,91,1237
91,92,1293
92,93,1050
93,94,1159
94,95,1224
95,96,1099
96,97,608
97,98,1079
98,99,1063
99,100,1054
